2024-01-24 16:18:37 | INFO     | DF | Running on device cuda:0
2024-01-24 16:18:37 | INFO     | DF | Model loaded
2024-01-24 16:23:57 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:23:57 | INFO     | DF | Running on host root
2024-01-24 16:23:57 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:23:57 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:23:57 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 16:23:57 | INFO     | DF | Running on device cuda:0
2024-01-24 16:23:57 | INFO     | DF | Model loaded
2024-01-24 16:34:08 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:34:08 | INFO     | DF | Running on host root
2024-01-24 16:34:08 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:34:08 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:34:08 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 16:34:08 | INFO     | DF | Running on device cuda:0
2024-01-24 16:34:08 | INFO     | DF | Model loaded
2024-01-24 16:38:57 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:38:57 | INFO     | DF | Running on host root
2024-01-24 16:38:57 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:38:57 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:38:57 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 16:38:57 | INFO     | DF | Running on device cuda:0
2024-01-24 16:38:57 | INFO     | DF | Model loaded
2024-01-24 16:42:19 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:42:19 | INFO     | DF | Running on host root
2024-01-24 16:42:19 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:42:19 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:42:19 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 16:42:19 | INFO     | DF | Running on device cuda:0
2024-01-24 16:42:19 | INFO     | DF | Model loaded
2024-01-24 16:43:05 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:43:05 | INFO     | DF | Running on host root
2024-01-24 16:43:05 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:43:05 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:43:05 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 16:43:05 | INFO     | DF | Running on device cuda:0
2024-01-24 16:43:05 | INFO     | DF | Model loaded
2024-01-24 16:46:07 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:46:07 | INFO     | DF | Running on host root
2024-01-24 16:46:07 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:46:07 | INFO     | DF | Initializing model `deepfilternet2`
